"Index","Points:0","Points:1","Points:2","T"
20260,0.20815,0.12304000000000001,-0.037123,687.44
20267,0.20965,0.12649000000000002,-0.025292,683.27
20285,0.21535,0.12047000000000001,-0.045493,679.89
20299,0.21478000000000003,0.12404000000000001,-0.035504,679.36
20833,0.22207,0.11415,-0.054186,646.05
20850,0.21249,0.12459,-0.023671,645.12
20916,0.2067,0.11505,-0.055544,638.87
49654,0.22503,-0.032031,0.055332000000000006,643.23
49658,0.22446999999999998,-0.041247000000000006,0.083373,641.91
49661,0.22541,-0.045197,0.07714700000000001,641.57
49670,0.22303,-0.041053,0.08289400000000001,640.98
49677,0.21829,-0.025009,0.070487,640.97
49679,0.21859,-0.021200999999999998,0.061699000000000004,640.9
49685,0.21975,-0.027912,0.077153,640.56
49686,0.22011999999999998,-0.038763,0.054092999999999995,638.8
49695,0.21495,-0.022848,0.06540499999999999,639.11
49705,0.21595,-0.03069,0.059116999999999996,638.19
72015,0.22716999999999998,0.051577,0.035716000000000005,646.97
72036,0.22612,0.080759,0.042006,644.66
72055,0.22244,0.080919,0.041014,642.62
72062,0.21497,0.061719,0.030311,643.15
72064,0.22505,0.06830499999999999,0.043946,640.73
72087,0.21675999999999998,0.058284,0.039733,638.82
72088,0.20922,0.055527,0.0182,640.87
72093,0.21161,0.07255299999999999,0.033921,638.73
72100,0.21128000000000002,0.051193,0.026774,638.46
72106,0.21823,0.078377,0.052259,636.03
49626,0.22209,-0.00017252,0.009701600000000001,645.74
71938,0.22673000000000001,0.022248,0.015225,653.21
72018,0.22227,0.0051584,0.020709,647.23
72032,0.2209,0.028669,0.0071461,646.41
72054,0.21659,0.0095494,0.023138,644.22
72058,0.22225999999999999,0.022688999999999997,0.026050999999999998,642.55
72079,0.21661,0.026839,0.022907,639.88
72095,0.2084,0.015493,0.017494,638.79
