"active","origId","typeId","origProcId","d","Ygas","rho","Yliquid","Cp","dTarget","nParticle","age","YH2O(l)","mass0","T","Ysolid","tTurb","UTurb:0","UTurb:1","UTurb:2","U:0","U:1","U:2","Points:0","Points:1","Points:2"
1,138,-1,16,1e-05,0,1000,1,4375,0,4.0897e+05,0.0096924,1,5.236e-13,446.16,0,0.0001078,-1.4659,1.9182,0.17011,338.89,7.2116,3.6968,1.7684,0.0097273,-0.02501
1,189,-1,16,1e-05,0,1000,1,4420.4,0,8.1806e+05,0.0095996,1,5.236e-13,458.77,0,0.0002409,0.0040642,0.066075,0.026241,346.6,1.071,1.9991,1.7734,0.0095625,-0.016618
1,274,-1,16,1e-05,0,1000,1,4576.5,0,4.0916e+05,0.0094363,1,5.236e-13,489.8,0,0.00045486,14.625,-8.1728,-4.8125,374.6,-6.6352,-4.1368,1.6335,0.014088,-0.021216
1,160,-1,16,1e-05,0,1000,1,4616.7,0,8.1806e+05,0.0096581,1,5.236e-13,495.88,0,0.00016301,0.89331,0.50397,0.24139,363.46,0.26806,-0.56494,1.6196,0.021772,-0.013215
1,43,-1,8,1e-05,0,1000,1,4358.5,0,8.1769e+05,0.0099101,1,5.236e-13,440.93,0,0.00016941,6.1494,5.9756,-1.1138,353.43,3.8013,-0.060408,1.6125,0.0056044,-0.046405
1,332,-1,16,1e-05,0,1000,1,4349.4,0,8.1845e+05,0.0093211,1,5.236e-13,437.86,0,0.00052805,-0.082258,-0.29766,-0.43983,352.17,0.97947,0.3838,1.6065,0.024868,-0.03585
1,122,-1,16,1e-05,0,1000,1,4413,0,4.0897e+05,0.0097269,1,5.236e-13,456.86,0,0.00062654,6.3947,-1.2137,-2.3273,359.43,-0.17379,-1.5499,1.7046,0.01383,-0.027105
1,261,-1,16,1e-05,0,1000,1,4451.4,0,4.0916e+05,0.0094554,1,5.236e-13,466.22,0,0.00041009,0.0049463,0.056833,0.7628,357.9,1.2238,0.91709,1.614,0.014115,-0.029144
1,238,-1,16,1e-05,0,1000,1,4385.4,0,4.0909e+05,0.0094977,1,5.236e-13,449.24,0,0.00037335,-3.2887,1.5198,-2.5784,349.37,1.571,-2.6538,1.5984,0.01764,-0.040602
1,211,-1,48,1e-05,0,1000,1,4492.2,0,8.1819e+05,0.0095475,1,5.236e-13,474.89,0,0.00041336,-7.3577,-3.5589,1.2275,353.18,-2.252,1.6137,1.5962,0.022515,-0.022903
1,366,-1,16,1e-05,0,1000,1,4566.9,0,4.0923e+05,0.0092604,1,5.236e-13,488.27,0,0.00034045,0.80367,-13.369,-2.7796,361.23,-8.854,0.11292,1.5962,0.018776,-0.020102
